"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT21","WT22"
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-02-05","5.82","1.25",,,"47","39","18.1","25.1","    1",,,,,,,"    1",,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-02-06","4.92","0.06",,,"53","41","19.9","30.0","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-02-07","1.57","0.00",,,"48","31","8.9","14.1","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-02-08","1.34","0.00",,,"55","31","8.1","10.1","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-02-09","2.24","0.08",,,"52","40","21.0","29.1","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-02-10","15.21","0.00",,,"47","31","25.1","36.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-02-11","4.25","0.00",,,"50","29","12.1","17.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-02-12","2.68","0.00",,,"40","31","6.9","14.1","    1","    1",,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-02-13","5.14","0.42",,,"43","29","14.1","18.1","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-02-14","2.01","0.00",,,"51","25","12.1","17.0","    1",,,,,,,"    1",,,,,,,,,
